name,tvt
06_01_00059,train
06_01_00060,train
06_01_00061,train
06_01_00064,train
06_01_00065,train
06_01_00066,train
06_01_00067,train
06_01_00068,train
06_01_00069,train
06_01_00072,train
06_01_00074,train
06_01_00075,train
06_01_00076,train
06_01_00077,train
06_01_00078,train
06_01_00079,train
06_01_00080,train
06_01_00081,train
06_01_00082,train
06_01_00083,train
06_01_00084,train
06_01_00085,train
06_01_00086,train
06_01_00087,train
06_01_00088,train
06_01_00089,train
06_01_00090,train
06_01_00091,train
06_01_00093,train
06_01_00094,train
06_01_00096,train
06_01_00097,train
06_01_00099,train
06_01_00100,train
06_01_00101,train
06_01_00102,train
06_01_00103,train
06_01_00104,train
06_01_00105,train
06_01_00106,train
06_01_00107,train
06_01_00108,train
06_01_00109,train
06_01_00110,train
06_01_00111,train
06_01_00112,train
06_01_00113,train
06_01_00114,train
06_01_00115,train
06_01_00116,train
06_01_00118,train
06_01_00119,train
06_01_00120,train
06_01_00121,train
06_01_00122,train
06_01_00123,train
06_01_00124,train
06_01_00126,train
06_01_00127,train
06_01_00128,train
06_01_00129,train
06_01_00130,train
06_01_00131,train
06_01_00132,train
06_01_00133,train
06_01_00134,train
06_01_00135,train
06_01_00136,train
06_01_00137,train
06_01_00138,train
06_01_00139,train
06_01_00140,train
06_01_00142,train
06_01_00143,train
06_01_00144,train
06_01_00145,train
06_01_00146,train
06_01_00147,train
06_01_00148,train
06_01_00149,train
06_01_00150,train
06_01_00151,train
06_01_00153,train
06_01_00154,train
06_01_00155,train
06_01_00156,train
06_01_00157,train
06_01_00158,train
06_01_00160,train
06_01_00161,train
06_01_00162,train
06_01_00163,train
06_01_00164,train
06_01_00165,train
06_01_00166,train
06_01_00167,train
06_01_00168,train
06_01_00169,train
06_01_00170,train
06_01_00171,train
06_01_00172,train
06_01_00173,train
06_01_00174,train
06_01_00176,train
06_01_00177,train
06_01_00178,train
06_01_00180,train
06_01_00181,train
06_01_00182,train
06_01_00183,train
06_01_00184,train
06_01_00185,train
06_01_00187,train
06_01_00188,train
06_01_00189,train
06_01_00190,train
06_01_00191,train
06_01_00192,train
06_01_00193,train
06_01_00194,train
06_01_00196,train
06_01_00197,train
06_01_00198,train
06_01_00199,train
06_01_00200,train
06_01_00201,train
