name,tvt
01_01_00008,train
01_01_00011,train
01_01_00014,train
01_01_00033,train
01_01_00085,train
01_01_00089,train
01_01_00090,train
01_01_00094,train
01_01_00102,train
01_01_00105,train
01_01_00108,train
01_01_00115,train
01_01_00149,train
01_01_00156,train
01_01_00161,train
01_01_00181,train
01_01_00186,train
01_01_00188,train
01_01_00197,train
01_01_00207,train
01_01_00208,train
01_01_00215,train
01_01_00222,train
01_01_00227,train
01_01_00234,train
01_01_00239,train
01_01_00253,train
01_01_00257,train
01_01_00259,train
01_01_00263,train
01_01_00264,train
01_01_00284,train
01_01_00285,train
01_01_00288,train
01_01_00293,train
01_01_00308,train
01_01_00311,train
01_01_00316,train
01_01_00322,train
01_01_00324,train
01_01_00326,train
01_01_00327,train
01_01_00328,train
01_01_00332,train
01_01_00334,train
01_01_00336,train
01_01_00338,train
01_01_00349,train
01_01_00362,train
01_01_00372,train
01_01_00373,train
01_01_00376,train
01_01_00385,train
01_01_00391,train
01_01_00393,train
01_01_00402,train
01_01_00405,train
01_01_00412,train
01_01_00414,train
01_01_00416,train
01_01_00422,train
01_01_00429,train
01_01_00442,train
01_01_00445,train
01_01_00451,train
01_01_00453,train
01_01_00457,train
01_01_00461,train
01_01_00462,train
01_01_00464,train
01_01_00471,train
01_01_00474,train
01_01_00482,train
01_01_00485,train
01_01_00497,train
01_01_00499,train
01_01_00502,train
01_01_00506,train
01_01_00512,train
01_01_00513,train
01_01_00514,train
01_01_00516,train
01_01_00520,train
01_01_00528,train
01_01_00537,train
01_01_00538,train
01_01_00554,train
01_01_00556,train
01_01_00557,train
01_01_00564,train
01_01_00565,train
01_01_00574,train
01_01_00577,train
01_01_00578,train
01_01_00586,train
01_01_00594,train
01_01_00603,train
01_01_00604,train
01_01_00610,train
01_01_00614,train
01_01_00616,train
01_01_00621,train
01_01_00624,train
01_01_00632,train
01_01_00634,train
01_01_00638,train
01_01_00640,train
01_01_00643,train
01_01_00644,train
01_01_00660,train
01_01_00665,train
01_01_00668,train
01_01_00673,train
01_01_00678,train
01_01_00682,train
01_01_00683,train
01_01_00684,train
01_01_00685,train
01_01_00693,train
01_01_00694,train
01_01_00695,train
01_01_00698,train
01_01_00702,train
01_01_00721,train
01_01_00722,train
01_01_00726,train
01_01_00739,train
01_01_00746,train
01_01_00748,train
01_01_00750,train
01_01_00753,train
01_01_00755,train
01_01_00756,train
01_01_00761,train
01_01_00762,train
01_01_00763,train
01_01_00776,train
01_01_00783,train
01_01_00784,train
01_01_00790,train
